Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.449,0.586,0.096,0.307,0.219,0.732,0.393,0.194,0.732,"[[110 170]
 [ 15  41]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-11 18:20:09.017639
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.75,0.558,0.041,0.188,0.193,0.173,0.865,0.205,0.173,"[[225  35]
 [ 43   9]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-11 18:20:27.590465
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.552,0.524,-0.003,0.237,0.216,0.417,0.579,0.165,0.417,"[[139 101]
 [ 28  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",58,2019-05-11 18:20:45.887058
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.606,0.5,-0.089,0.148,0.178,0.205,0.686,0.115,0.205,"[[151  69]
 [ 35   9]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",78,2019-05-11 18:21:05.170802
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.542,0.515,0.024,0.258,0.193,0.477,0.555,0.176,0.477,"[[122  98]
 [ 23  21]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",96,2019-05-11 18:21:23.875910
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.649,0.693,0.254,0.398,0.318,0.696,0.639,0.279,0.696,"[[179 101]
 [ 17  39]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-11 18:21:52.716115
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.42,0.522,-0.015,0.255,0.185,0.596,0.385,0.162,0.596,"[[100 160]
 [ 21  31]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",39,2019-05-11 18:22:11.035347
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.562,0.514,-0.006,0.232,0.178,0.396,0.596,0.164,0.396,"[[143  97]
 [ 29  19]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",58,2019-05-11 18:22:29.772676
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.636,0.517,-0.077,0.143,0.174,0.182,0.727,0.118,0.182,"[[160  60]
 [ 36   8]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",77,2019-05-11 18:22:48.679053
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.686,0.544,0.152,0.325,0.204,0.455,0.732,0.253,0.455,"[[161  59]
 [ 24  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",96,2019-05-11 18:23:07.170184
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.729,0.585,0.084,0.248,0.203,0.268,0.821,0.231,0.268,"[[230  50]
 [ 41  15]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-11 18:23:33.820629
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.744,0.492,-0.054,0.091,0.159,0.077,0.877,0.111,0.077,"[[228  32]
 [ 48   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-11 18:23:52.163481
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.587,0.569,0.079,0.287,0.257,0.5,0.604,0.202,0.5,"[[145  95]
 [ 24  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",58,2019-05-11 18:24:11.046681
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.409,0.406,-0.137,0.188,0.15,0.409,0.409,0.122,0.409,"[[ 90 130]
 [ 26  18]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",78,2019-05-11 18:24:30.232222
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.591,0.582,0.083,0.289,0.235,0.5,0.609,0.204,0.5,"[[134  86]
 [ 22  22]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",97,2019-05-11 18:24:49.282406
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.702,0.629,0.122,0.296,0.284,0.375,0.768,0.244,0.375,"[[215  65]
 [ 35  21]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-11 18:25:17.935370
