Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.781,0.692,0.316,0.442,0.355,0.521,0.833,0.385,0.521,"[[200  40]
 [ 23  25]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",58,2019-05-10 15:04:34.317751
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.773,0.551,0.023,0.143,0.218,0.114,0.905,0.192,0.114,"[[199  21]
 [ 39   5]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",76,2019-05-10 15:04:52.488035
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.799,0.554,0.094,0.185,0.216,0.136,0.932,0.286,0.136,"[[205  15]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",94,2019-05-10 15:05:10.377534
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.774,0.749,0.186,0.321,0.311,0.321,0.864,0.321,0.321,"[[242  38]
 [ 38  18]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",23,2019-05-10 15:05:38.477348
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.84,0.758,0.28,0.324,0.385,0.231,0.962,0.545,0.231,"[[250  10]
 [ 40  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",43,2019-05-10 15:05:57.842834
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.812,0.832,0.358,0.471,0.416,0.5,0.875,0.444,0.5,"[[210  30]
 [ 24  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",63,2019-05-10 15:06:17.885521
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.689,0.547,0.024,0.212,0.22,0.25,0.777,0.183,0.25,"[[171  49]
 [ 33  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",82,2019-05-10 15:06:37.486841
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.784,0.621,0.019,0.123,0.287,0.091,0.923,0.19,0.091,"[[203  17]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",102,2019-05-10 15:06:57.484428
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.804,0.77,0.332,0.45,0.407,0.482,0.868,0.422,0.482,"[[243  37]
 [ 29  27]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 15:07:23.905637
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.763,0.7,0.298,0.431,0.452,0.538,0.808,0.359,0.538,"[[210  50]
 [ 24  28]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-10 15:07:41.996139
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.788,0.797,0.218,0.344,0.443,0.333,0.879,0.356,0.333,"[[211  29]
 [ 32  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",58,2019-05-10 15:08:00.384939
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.841,0.686,0.231,0.222,0.313,0.136,0.982,0.6,0.136,"[[216   4]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",78,2019-05-10 15:08:20.206182
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.739,0.524,-0.117,0.028,0.169,0.023,0.882,0.037,0.023,"[[194  26]
 [ 43   1]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",97,2019-05-10 15:08:39.177866
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.777,0.704,0.384,0.497,0.39,0.661,0.8,0.398,0.661,"[[224  56]
 [ 19  37]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 15:09:06.281392
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.833,0.716,0.281,0.35,0.406,0.269,0.946,0.5,0.269,"[[246  14]
 [ 38  14]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-10 15:09:24.953889
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.823,0.865,0.389,0.495,0.515,0.521,0.883,0.472,0.521,"[[212  28]
 [ 23  25]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",60,2019-05-10 15:09:44.188875
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.712,0.628,0.082,0.255,0.296,0.295,0.795,0.224,0.295,"[[175  45]
 [ 31  13]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",79,2019-05-10 15:10:03.295093
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.72,0.5,-0.028,0.14,0.262,0.136,0.836,0.143,0.136,"[[184  36]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",97,2019-05-10 15:10:21.144443
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.795,0.853,0.437,0.537,0.633,0.714,0.811,0.43,0.714,"[[227  53]
 [ 16  40]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 15:10:48.687296
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.824,0.685,0.048,0.068,0.291,0.038,0.981,0.286,0.038,"[[255   5]
 [ 50   2]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",39,2019-05-10 15:11:06.501248
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.819,0.839,0.433,0.536,0.534,0.625,0.858,0.469,0.625,"[[206  34]
 [ 18  30]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",57,2019-05-10 15:11:23.889609
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.803,0.736,0.376,0.49,0.526,0.568,0.85,0.431,0.568,"[[187  33]
 [ 19  25]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",75,2019-05-10 15:11:41.720056
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.795,0.591,0.04,0.129,0.208,0.091,0.936,0.222,0.091,"[[206  14]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",92,2019-05-10 15:11:59.323448
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.696,0.773,0.212,0.37,0.384,0.536,0.729,0.283,0.536,"[[204  76]
 [ 26  30]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 15:12:26.579324
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.833,0.696,0.179,0.188,0.38,0.115,0.977,0.5,0.115,"[[254   6]
 [ 46   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-10 15:12:44.763634
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.819,0.832,0.371,0.48,0.425,0.5,0.883,0.462,0.5,"[[212  28]
 [ 24  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",60,2019-05-10 15:13:04.592804
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.795,0.689,0.303,0.426,0.351,0.455,0.864,0.4,0.455,"[[190  30]
 [ 24  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",79,2019-05-10 15:13:23.643632
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.765,0.542,-0.011,0.114,0.202,0.091,0.9,0.154,0.091,"[[198  22]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",98,2019-05-10 15:13:42.916402
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.804,0.798,0.379,0.492,0.375,0.571,0.85,0.432,0.571,"[[238  42]
 [ 24  32]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 15:14:09.033357
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.84,0.695,0.212,0.194,0.36,0.115,0.985,0.6,0.115,"[[256   4]
 [ 46   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-10 15:14:27.279170
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.806,0.835,0.264,0.378,0.425,0.354,0.896,0.405,0.354,"[[215  25]
 [ 31  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",58,2019-05-10 15:14:44.833390
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.852,0.684,0.338,0.361,0.434,0.25,0.973,0.647,0.25,"[[214   6]
 [ 33  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",76,2019-05-10 15:15:02.890909
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.686,0.499,-0.102,0.088,0.16,0.091,0.805,0.085,0.091,"[[177  43]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",94,2019-05-10 15:15:21.361097
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.801,0.82,0.446,0.544,0.486,0.714,0.818,0.44,0.714,"[[229  51]
 [ 16  40]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-10 15:15:50.605401
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.827,0.713,0.251,0.325,0.435,0.25,0.942,0.464,0.25,"[[245  15]
 [ 39  13]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-10 15:16:07.615630
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.823,0.847,0.302,0.4,0.467,0.354,0.917,0.459,0.354,"[[220  20]
 [ 31  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",55,2019-05-10 15:16:24.589840
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.659,0.627,0.123,0.308,0.31,0.455,0.7,0.233,0.455,"[[154  66]
 [ 24  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",72,2019-05-10 15:16:41.705710
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.814,0.564,0.086,0.14,0.27,0.091,0.959,0.308,0.091,"[[211   9]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",90,2019-05-10 15:16:59.832838
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.789,0.794,0.306,0.432,0.367,0.482,0.85,0.391,0.482,"[[238  42]
 [ 29  27]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-10 15:17:26.304370
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.849,0.665,0.281,0.203,0.397,0.115,0.996,0.857,0.115,"[[259   1]
 [ 46   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-10 15:17:43.127660
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.806,0.733,0.183,0.282,0.422,0.229,0.921,0.367,0.229,"[[221  19]
 [ 37  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",55,2019-05-10 15:18:00.513138
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.705,0.637,0.025,0.204,0.322,0.227,0.8,0.185,0.227,"[[176  44]
 [ 34  10]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",73,2019-05-10 15:18:18.175876
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.83,0.597,0.18,0.211,0.303,0.136,0.968,0.462,0.136,"[[213   7]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",90,2019-05-10 15:18:35.680307
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.78,0.768,0.36,0.479,0.322,0.607,0.814,0.395,0.607,"[[228  52]
 [ 22  34]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-10 15:19:03.120606
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.817,0.717,0.306,0.412,0.4,0.385,0.904,0.444,0.385,"[[235  25]
 [ 32  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-10 15:19:20.119359
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.764,0.788,0.266,0.404,0.378,0.479,0.821,0.348,0.479,"[[197  43]
 [ 25  23]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",55,2019-05-10 15:19:36.946672
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.83,0.633,0.116,0.118,0.254,0.068,0.982,0.429,0.068,"[[216   4]
 [ 41   3]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",72,2019-05-10 15:19:53.785140
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.693,0.505,-0.115,0.069,0.185,0.068,0.818,0.07,0.068,"[[180  40]
 [ 41   3]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",89,2019-05-10 15:20:11.147291
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.783,0.767,0.201,0.33,0.395,0.321,0.875,0.34,0.321,"[[245  35]
 [ 38  18]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-10 15:20:37.456513
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.833,0.665,0.313,0.395,0.407,0.327,0.935,0.5,0.327,"[[243  17]
 [ 35  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-10 15:20:54.542522
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.76,0.764,0.249,0.389,0.43,0.458,0.821,0.338,0.458,"[[197  43]
 [ 26  22]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",55,2019-05-10 15:21:11.637348
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.765,0.625,-0.011,0.114,0.237,0.091,0.9,0.154,0.091,"[[198  22]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",72,2019-05-10 15:21:28.712156
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.795,0.527,0.04,0.129,0.225,0.091,0.936,0.222,0.091,"[[206  14]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",89,2019-05-10 15:21:45.783680
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.798,0.819,0.424,0.528,0.463,0.679,0.821,0.432,0.679,"[[230  50]
 [ 18  38]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 15:22:13.918902
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.846,0.761,0.35,0.415,0.516,0.327,0.95,0.567,0.327,"[[247  13]
 [ 35  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",39,2019-05-10 15:22:31.413235
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.722,0.796,0.316,0.444,0.383,0.667,0.733,0.333,0.667,"[[176  64]
 [ 16  32]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",58,2019-05-10 15:22:49.678726
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.761,0.712,0.193,0.337,0.415,0.364,0.841,0.314,0.364,"[[185  35]
 [ 28  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",76,2019-05-10 15:23:07.757487
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.795,0.493,0.014,0.1,0.213,0.068,0.941,0.188,0.068,"[[207  13]
 [ 41   3]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",94,2019-05-10 15:23:26.119728
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.783,0.753,0.287,0.416,0.516,0.464,0.846,0.377,0.464,"[[237  43]
 [ 30  26]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-10 15:23:52.674012
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.817,0.579,0.054,0.095,0.278,0.058,0.969,0.273,0.058,"[[252   8]
 [ 49   3]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-10 15:24:09.479976
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.833,0.881,0.516,0.6,0.479,0.75,0.85,0.5,0.75,"[[204  36]
 [ 12  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",55,2019-05-10 15:24:26.307830
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.644,0.63,0.121,0.309,0.364,0.477,0.677,0.228,0.477,"[[149  71]
 [ 23  21]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",71,2019-05-10 15:24:42.975674
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.754,0.519,0.015,0.156,0.209,0.136,0.877,0.182,0.136,"[[193  27]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",89,2019-05-10 15:25:00.450456
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.786,0.772,0.261,0.39,0.347,0.411,0.861,0.371,0.411,"[[241  39]
 [ 33  23]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-10 15:25:26.850006
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.84,0.695,0.331,0.405,0.4,0.327,0.942,0.531,0.327,"[[245  15]
 [ 35  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-10 15:25:44.173966
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.83,0.837,0.51,0.595,0.427,0.75,0.846,0.493,0.75,"[[203  37]
 [ 12  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",56,2019-05-10 15:26:01.318735
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.822,0.605,0.292,0.39,0.382,0.341,0.918,0.455,0.341,"[[202  18]
 [ 29  15]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",73,2019-05-10 15:26:19.193979
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.799,0.483,0.048,0.131,0.216,0.091,0.941,0.235,0.091,"[[207  13]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",91,2019-05-10 15:26:36.429716
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.795,0.724,0.355,0.473,0.294,0.554,0.843,0.413,0.554,"[[236  44]
 [ 25  31]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",19,2019-05-10 15:27:01.195657
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.824,0.735,0.203,0.267,0.347,0.192,0.95,0.435,0.192,"[[247  13]
 [ 42  10]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",36,2019-05-10 15:27:18.268598
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.812,0.795,0.347,0.46,0.411,0.479,0.879,0.442,0.479,"[[211  29]
 [ 25  23]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",53,2019-05-10 15:27:34.566503
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.845,0.599,0.263,0.255,0.292,0.159,0.982,0.636,0.159,"[[216   4]
 [ 37   7]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",69,2019-05-10 15:27:50.778347
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.777,0.495,-0.046,0.063,0.166,0.045,0.923,0.105,0.045,"[[203  17]
 [ 42   2]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",85,2019-05-10 15:28:07.049937
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.807,0.747,0.278,0.393,0.516,0.375,0.893,0.412,0.375,"[[250  30]
 [ 35  21]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",20,2019-05-10 15:28:33.635933
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.824,0.729,0.242,0.321,0.411,0.25,0.938,0.448,0.25,"[[244  16]
 [ 39  13]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",36,2019-05-10 15:28:49.572509
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.826,0.801,0.274,0.359,0.372,0.292,0.933,0.467,0.292,"[[224  16]
 [ 34  14]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",53,2019-05-10 15:29:05.840349
