Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.699,0.592,0.124,0.299,0.207,0.385,0.762,0.244,0.385,"[[198  62]
 [ 32  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",41,2019-05-10 15:04:18.881612
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.507,0.586,0.119,0.317,0.217,0.688,0.471,0.206,0.688,"[[113 127]
 [ 15  33]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",60,2019-05-10 15:04:37.904241
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.758,0.546,0.143,0.289,0.255,0.295,0.85,0.283,0.295,"[[187  33]
 [ 31  13]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",78,2019-05-10 15:04:56.335027
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.64,0.445,0.047,0.252,0.171,0.364,0.695,0.193,0.364,"[[153  67]
 [ 28  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",97,2019-05-10 15:05:14.618021
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.729,0.687,0.272,0.413,0.285,0.571,0.761,0.323,0.571,"[[213  67]
 [ 24  32]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",23,2019-05-10 15:05:42.478155
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.625,0.565,-0.003,0.215,0.205,0.308,0.688,0.165,0.308,"[[179  81]
 [ 36  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",42,2019-05-10 15:06:01.085676
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.622,0.504,0.062,0.268,0.197,0.417,0.662,0.198,0.417,"[[159  81]
 [ 28  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",61,2019-05-10 15:06:19.711405
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.739,0.632,0.146,0.303,0.297,0.341,0.818,0.273,0.341,"[[180  40]
 [ 29  15]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",79,2019-05-10 15:06:38.665722
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.561,0.53,0.082,0.293,0.191,0.545,0.564,0.2,0.545,"[[124  96]
 [ 20  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",98,2019-05-10 15:06:57.391909
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.732,0.647,0.192,0.348,0.232,0.429,0.793,0.293,0.429,"[[222  58]
 [ 32  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 15:07:23.851776
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.744,0.679,0.063,0.216,0.247,0.212,0.85,0.22,0.212,"[[221  39]
 [ 41  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-10 15:07:42.043609
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.653,0.579,0.08,0.275,0.201,0.396,0.704,0.211,0.396,"[[169  71]
 [ 29  19]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",58,2019-05-10 15:08:00.259297
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.655,0.572,0.034,0.235,0.21,0.318,0.723,0.187,0.318,"[[159  61]
 [ 30  14]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",78,2019-05-10 15:08:19.682868
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.731,0.502,0.136,0.297,0.242,0.341,0.809,0.263,0.341,"[[178  42]
 [ 29  15]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",97,2019-05-10 15:08:38.882459
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.637,0.627,0.084,0.282,0.283,0.429,0.679,0.211,0.429,"[[190  90]
 [ 32  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 15:09:06.422006
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.708,0.602,0.059,0.235,0.196,0.269,0.796,0.209,0.269,"[[207  53]
 [ 38  14]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",41,2019-05-10 15:09:25.108546
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.549,0.571,0.118,0.316,0.238,0.625,0.533,0.211,0.625,"[[128 112]
 [ 18  30]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",60,2019-05-10 15:09:43.722767
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.72,0.549,0.106,0.275,0.267,0.318,0.8,0.241,0.318,"[[176  44]
 [ 30  14]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",78,2019-05-10 15:10:02.577139
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.545,0.5,0.014,0.25,0.195,0.455,0.564,0.172,0.455,"[[124  96]
 [ 24  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",96,2019-05-10 15:10:20.023644
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.586,0.646,0.184,0.353,0.251,0.679,0.568,0.239,0.679,"[[159 121]
 [ 18  38]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 15:10:47.128181
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.686,0.632,0.085,0.269,0.219,0.346,0.754,0.22,0.346,"[[196  64]
 [ 34  18]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-10 15:11:05.762805
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.545,0.594,0.152,0.335,0.221,0.688,0.517,0.221,0.688,"[[124 116]
 [ 15  33]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",57,2019-05-10 15:11:22.760747
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.701,0.613,0.037,0.218,0.244,0.25,0.791,0.193,0.25,"[[174  46]
 [ 33  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",75,2019-05-10 15:11:40.205778
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.739,0.591,0.033,0.188,0.273,0.182,0.85,0.195,0.182,"[[187  33]
 [ 36   8]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",92,2019-05-10 15:11:57.549773
