Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.809,0.718,0.191,0.286,0.302,0.229,0.925,0.379,0.229,"[[222  18]
 [ 37  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",147,2019-05-11 16:06:45.028673
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.72,0.647,-0.047,0.119,0.246,0.114,0.841,0.125,0.114,"[[185  35]
 [ 39   5]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",195,2019-05-11 16:07:33.375664
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.803,0.567,0.102,0.187,0.226,0.136,0.936,0.3,0.136,"[[206  14]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",243,2019-05-11 16:08:21.633731
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.783,0.761,0.223,0.354,0.351,0.357,0.868,0.351,0.357,"[[243  37]
 [ 36  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",48,2019-05-11 16:09:18.300506
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.833,0.655,0.125,0.103,0.366,0.058,0.988,0.5,0.058,"[[257   3]
 [ 49   3]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",91,2019-05-11 16:10:01.262532
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.809,0.801,0.205,0.304,0.355,0.25,0.921,0.387,0.25,"[[221  19]
 [ 36  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",134,2019-05-11 16:10:44.846385
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.765,0.6,0.071,0.205,0.315,0.182,0.882,0.235,0.182,"[[194  26]
 [ 36   8]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",178,2019-05-11 16:11:28.472007
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.811,0.673,0.239,0.342,0.379,0.295,0.914,0.406,0.295,"[[201  19]
 [ 31  13]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",222,2019-05-11 16:12:12.597789
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.795,0.763,0.373,0.489,0.426,0.589,0.836,0.418,0.589,"[[234  46]
 [ 23  33]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",51,2019-05-11 16:13:13.011842
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.833,0.597,0.246,0.297,0.318,0.212,0.958,0.5,0.212,"[[249  11]
 [ 41  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",98,2019-05-11 16:13:59.199558
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.788,0.85,0.457,0.548,0.478,0.771,0.792,0.425,0.771,"[[190  50]
 [ 11  37]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",144,2019-05-11 16:14:45.720378
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.795,0.595,-0.049,0.036,0.22,0.023,0.95,0.083,0.023,"[[209  11]
 [ 43   1]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",191,2019-05-11 16:15:32.634563
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.742,0.479,-0.042,0.105,0.211,0.091,0.873,0.125,0.091,"[[192  28]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",238,2019-05-11 16:16:20.089926
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.81,0.776,0.407,0.515,0.42,0.607,0.85,0.447,0.607,"[[238  42]
 [ 22  34]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",51,2019-05-11 16:17:19.353539
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.798,0.552,0.071,0.16,0.248,0.115,0.935,0.261,0.115,"[[243  17]
 [ 46   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",98,2019-05-11 16:18:05.982947
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.837,0.719,0.269,0.319,0.362,0.229,0.958,0.524,0.229,"[[230  10]
 [ 37  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",146,2019-05-11 16:18:53.545984
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.769,0.68,0.129,0.265,0.342,0.25,0.873,0.282,0.25,"[[192  28]
 [ 33  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",194,2019-05-11 16:19:41.978180
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.742,0.615,0.0,0.15,0.313,0.136,0.864,0.167,0.136,"[[190  30]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",242,2019-05-11 16:20:30.070324
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.762,0.779,0.382,0.494,0.524,0.696,0.775,0.382,0.696,"[[217  63]
 [ 17  39]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",48,2019-05-11 16:21:25.448930
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.856,0.754,0.347,0.348,0.453,0.231,0.981,0.706,0.231,"[[255   5]
 [ 40  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",90,2019-05-11 16:22:08.227567
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.847,0.847,0.496,0.585,0.498,0.646,0.888,0.534,0.646,"[[213  27]
 [ 17  31]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",133,2019-05-11 16:22:50.603085
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.799,0.626,0.229,0.346,0.375,0.318,0.895,0.378,0.318,"[[197  23]
 [ 30  14]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",176,2019-05-11 16:23:34.051276
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.811,0.56,0.099,0.167,0.313,0.114,0.95,0.312,0.114,"[[209  11]
 [ 39   5]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",219,2019-05-11 16:24:16.849608
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.783,0.785,0.189,0.318,0.351,0.304,0.879,0.333,0.304,"[[246  34]
 [ 39  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",46,2019-05-11 16:25:10.578558
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.801,0.623,0.175,0.279,0.301,0.231,0.915,0.353,0.231,"[[238  22]
 [ 40  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",93,2019-05-11 16:25:56.816097
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.74,0.72,0.291,0.427,0.368,0.583,0.771,0.337,0.583,"[[185  55]
 [ 20  28]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",140,2019-05-11 16:26:43.812290
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.795,0.62,0.125,0.229,0.249,0.182,0.918,0.308,0.182,"[[202  18]
 [ 36   8]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",187,2019-05-11 16:27:31.404103
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.818,0.486,0.142,0.2,0.246,0.136,0.955,0.375,0.136,"[[210  10]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",234,2019-05-11 16:28:18.481888
