Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.826,0.594,0.124,0.148,0.288,0.091,0.973,0.4,0.091,"[[214   6]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",216,2019-05-11 16:51:33.386507
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.798,0.757,0.406,0.514,0.309,0.643,0.829,0.429,0.643,"[[232  48]
 [ 20  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",47,2019-05-11 16:52:27.922108
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.74,0.625,0.012,0.165,0.276,0.154,0.858,0.178,0.154,"[[223  37]
 [ 44   8]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",89,2019-05-11 16:53:10.103937
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.83,0.785,0.329,0.424,0.479,0.375,0.921,0.486,0.375,"[[221  19]
 [ 30  18]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",132,2019-05-11 16:53:52.794098
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.746,0.66,0.213,0.362,0.316,0.432,0.809,0.311,0.432,"[[178  42]
 [ 25  19]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",175,2019-05-11 16:54:35.529204
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.72,0.553,-0.028,0.14,0.246,0.136,0.836,0.143,0.136,"[[184  36]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",218,2019-05-11 16:55:19.156360
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.821,0.771,0.339,0.444,0.49,0.429,0.9,0.462,0.429,"[[252  28]
 [ 32  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",49,2019-05-11 16:56:16.125162
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.814,0.695,0.242,0.341,0.365,0.288,0.919,0.417,0.288,"[[239  21]
 [ 37  15]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",93,2019-05-11 16:57:00.347599
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.812,0.809,0.278,0.386,0.381,0.354,0.904,0.425,0.354,"[[217  23]
 [ 31  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",138,2019-05-11 16:57:45.028880
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.561,0.599,0.014,0.247,0.219,0.432,0.586,0.173,0.432,"[[129  91]
 [ 25  19]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",184,2019-05-11 16:58:30.551608
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.629,0.565,-0.037,0.183,0.248,0.25,0.705,0.145,0.25,"[[155  65]
 [ 33  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",229,2019-05-11 16:59:16.049344
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.783,0.797,0.245,0.376,0.331,0.393,0.861,0.361,0.393,"[[241  39]
 [ 34  22]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",49,2019-05-11 17:00:12.071403
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.846,0.624,0.268,0.25,0.298,0.154,0.985,0.667,0.154,"[[256   4]
 [ 44   8]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",93,2019-05-11 17:00:56.138187
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.712,0.709,0.093,0.265,0.32,0.312,0.792,0.231,0.312,"[[190  50]
 [ 33  15]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",137,2019-05-11 17:01:40.928006
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.761,0.721,0.312,0.442,0.459,0.568,0.8,0.362,0.568,"[[176  44]
 [ 19  25]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",183,2019-05-11 17:02:26.272101
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.78,0.517,0.077,0.194,0.25,0.159,0.905,0.25,0.159,"[[199  21]
 [ 37   7]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",228,2019-05-11 17:03:11.669375
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.795,0.734,0.383,0.496,0.295,0.607,0.832,0.42,0.607,"[[233  47]
 [ 22  34]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",46,2019-05-11 17:04:05.993549
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.837,0.722,0.234,0.261,0.331,0.173,0.969,0.529,0.173,"[[252   8]
 [ 43   9]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",88,2019-05-11 17:04:48.052634
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.819,0.709,0.244,0.333,0.309,0.271,0.929,0.433,0.271,"[[223  17]
 [ 35  13]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",131,2019-05-11 17:05:30.450229
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.818,0.75,0.227,0.314,0.423,0.25,0.932,0.423,0.25,"[[205  15]
 [ 33  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",174,2019-05-11 17:06:13.654047
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.788,0.567,0.071,0.176,0.219,0.136,0.918,0.25,0.136,"[[202  18]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",217,2019-05-11 17:06:56.731380
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.81,0.764,0.416,0.522,0.457,0.625,0.846,0.449,0.625,"[[237  43]
 [ 21  35]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",47,2019-05-11 17:07:52.697368
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.798,0.684,0.071,0.16,0.321,0.115,0.935,0.261,0.115,"[[243  17]
 [ 46   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",89,2019-05-11 17:08:34.727721
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.802,0.802,0.218,0.329,0.486,0.292,0.904,0.378,0.292,"[[217  23]
 [ 34  14]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",132,2019-05-11 17:09:17.270500
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.788,0.707,0.236,0.364,0.404,0.364,0.873,0.364,0.364,"[[192  28]
 [ 28  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",175,2019-05-11 17:10:00.969230
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.83,0.571,0.161,0.182,0.295,0.114,0.973,0.455,0.114,"[[214   6]
 [ 39   5]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",219,2019-05-11 17:10:44.496258
